"x"	"y"	"z"	"dist"
101	280.67	227	0
184.67	343.33	228	6.40312423743285
188.67	348.33	228	0
131	215.67	232	4.02299639572299
129.33	219.33	232	0
201.33	228	232	4.02796474661832
199.67	231.67	232	0
247.33	209.67	232	4.07240715056831
250.67	212	232	0
101.33	214.33	232	2.86900679678523
99.67	216.67	232	0
174.33	187.33	235	3.89301939373539
177.67	189.33	235	0
158.33	344.33	235	4.26980093212791
155.67	347.67	235	0
263.67	235	235	4.17958131874473
261.67	238.67	235	0
35.67	290.33	236	3.4334967598645
38.67	292	236	0
99	262.33	262	5.01087816654925
99.33	267.33	262	0
106.33	278	279	4.5326041080156
107.67	273.67	279	0
45.33	378.67	281	3.28566583815214
46.67	381.67	281	0
199	246.33	283	3.07390630956768
198.33	249.33	283	0
116.67	286.67	300	3.79853919290033
119.67	289	300	0
164.67	236	305	3.60555127546399
161.67	238	305	0
153.67	245.67	305	3.72081980214041
153	249.33	305	0
210.67	229	305	5.75750814154873
211.67	234.67	305	0
244.67	314.33	152	2.74065685557315
247.33	313.67	152	0
226.33	247.67	156	6.40850216509288
225.33	254	156	0
218	310.33	156	4.0557243496076
217.33	314.33	156	0
276.67	334	156	6.32999999999998
276.67	340.33	156	0
231.33	253.67	160	3.30219623886891
233.67	256	160	0
192	280.33	177	4.27603788570683
194.67	283.67	177	0
200	292.33	177	3.07824625395698
202	294.67	177	0
182	273	177	3.07065139669092
184	275.33	177	0
212	326.33	177	3.07824625395698
210	328.67	177	0
200	341	178	4.74013712881812
197	344.67	178	0
303.67	265.67	178	4.07240715056834
306	262.33	178	0
298.67	315.67	186	6.66400030012003
302.67	321	186	0
181	266.33	186	4.0557243496076
181.67	270.33	186	0
312	273	186	5.34020598853638
311.67	278.33	186	0
262	341.33	191	3.89301939373543
264	344.67	191	0
258.33	343	191	4.170803279945
254.67	345	191	0
193.67	261	191	3.07065139669092
191.67	263.33	191	0
255.33	303.67	191	4
255.33	307.67	191	0
196.67	248.67	191	4.34332821693227
196.33	253	191	0
240	217.67	191	4.34255685052022
240.33	222	191	0
302.33	319.33	198	5.73566038046187
299	324	198	0
166.67	313	202	5.20469979921992
170.67	309.67	202	0
184.67	261	207	5
188.67	258	207	0
190.33	243.33	213	2.36173664916305
192	245	213	0
292.33	239.67	214	4.17080327994503
294.33	243.33	214	0
289.67	237.33	214	2.987390165345
288.33	240	214	0
165	277.67	216	4.06420964026217
162.67	281	216	0
173.33	255.33	217	4.47213595499955
171.33	259.33	217	0
227.67	374.67	223	4.92183908717054
225.33	379	223	0
168	336	225	3.79853919290035
170.33	333	225	0
158.67	277	225	3.14925387988965
157	279.67	225	0
166	341.67	231	2.40185345098323
167.33	343.67	231	0
296.67	266.67	233	3.28160021940515
299.67	268	233	0
232.67	239.67	233	2.74308220802806
232	242.33	233	0
207	366	234	4.0557243496076
207.67	370	234	0
184.67	248.33	236	4.38989749310845
185.33	252.67	236	0
302	247	236	4.26823148388184
304.67	250.33	236	0
206.67	313.33	236	2.43402958075701
206	315.67	236	0
183	359	238	2.60555176498185
185	360.67	238	0
171.33	314	241	3.34731235471085
171.67	317.33	241	0
320.67	283	250	5.66961197966842
326.33	282.67	250	0
267.67	298	254	4.12310562561766
268.67	302	254	0
240.67	279.33	259	2.75278041260106
240	282	259	0
320	325.67	279	3.16227766016838
319	328.67	279	0
228	310.67	295	3.5857774610257
229.33	314	295	0
283.33	266.67	295	3.72081980214035
280	268.33	295	0
274.33	234.33	132	2.53552755851717
275.33	232	132	0
280.33	239.67	132	3.60555127546399
282.33	242.67	132	0
308.33	223	140	4.01608017848249
311.33	225.67	140	0
253.67	192	140	3.30219623886891
251.33	194.33	140	0
246.67	203.67	140	3.3967337252131
246	207	140	0
202	229.67	145	4.73239896881066
205	233.33	145	0
310.67	233.67	145	3.66000000000003
310.67	237.33	145	0
227.67	188.67	145	3.66000000000003
227.67	192.33	145	0
247.67	189	151	4.21848313970791
246.33	193	151	0
208.67	165	151	4.01608017848249
206	168	151	0
194	271	151	5.3851648071345
196	276	151	0
213.67	170.67	153	3.58949857222426
212.33	174	153	0
300.67	192	153	3.42864404684999
302.33	195	153	0
252.67	278.33	155	3.07065139669095
255	276.33	155	0
190	279	155	4.01608017848251
187	281.67	155	0
272.67	217	155	4.63729446983907
274.33	221.33	155	0
315.33	210.33	155	3.07065139669092
313	212.33	155	0
321	190.33	155	3.14925387988965
322.67	193	155	0
214.67	203	155	4.44397344726542
213.67	207.33	155	0
192.67	196.33	155	2.87480434116825
191	198.67	155	0
195	154.33	158	4.71640753116182
198.33	157.67	158	0
232.67	159.33	158	4.47213595499958
230.67	163.33	158	0
215.33	174	158	2.86085651510175
213.67	176.33	158	0
306.67	213	158	2.85112258592996
307.67	215.67	158	0
218.33	163.67	159	4.34255685052022
218	168	159	0
242	211.67	160	4.24264068711928
245	214.67	160	0
233	238	160	3.47690954728478
232	241.33	160	0
264.67	278.33	160	3.80468132699707
261.67	280.67	160	0
203	156.67	161	5.20469979921994
206.33	160.67	161	0
194.33	149.33	164	3.07824625395693
196.67	151.33	164	0
188.33	132.67	164	3.07824625395693
190.67	134.67	164	0
211.67	145	164	2.10924156985396
211	147	164	0
276	234.33	164	4.2760378857068
273.33	237.67	164	0
180.33	166.67	167	4.96230793079186
184	163.33	167	0
200.33	120.67	168	3.07824625395695
202.33	118.33	168	0
198	210.67	169	3.07390630956768
201	210	169	0
198.33	216	169	3.725291934869
200	219.33	169	0
198	204	169	3.14925387988963
196.33	206.67	169	0
181.67	166.33	169	3.14396246796936
183.33	169	169	0
193.33	286	188	4.7093311627024
190	289.33	188	0
215	257.67	188	3.07390630956768
214.33	260.67	188	0
156	254.33	194	4.53260410801562
160.33	255.67	194	0
196	212.67	194	4.17080327994503
198	216.33	194	0
152	256.33	198	5.67000000000002
152	262	198	0
230	126.67	200	4.21531730715493
231.33	130.67	200	0
167	151	212	3.58577746102573
165.67	154.33	212	0
195.67	126.33	212	4.2760378857068
192.33	129	212	0
254.33	159.67	233	5.17644665769869
255.67	164.67	233	0
292.67	259.67	240	3.16227766016838
291.67	262.67	240	0
289	258	240	3.33600059952034
287	260.67	240	0
178	146.33	240	2.69031596657343
178.33	149	240	0
223.67	238.67	240	2.84176001801703
224.67	241.33	240	0
231	253	247	4.68164501003655
230.67	257.67	247	0
279	171.67	253	4.53039733356802
281.67	175.33	253	0
229.33	177	253	4.48949885844732
232.67	174	253	0
184.67	147	255	4.33872100969862
188.33	149.33	255	0
213.67	171	255	5.37070758839095
214.33	165.67	255	0
290.33	162.33	255	3.48648820448311
291.33	165.67	255	0
248.33	136.67	255	3.54276727996633
250.67	139.33	255	0
282	201.67	257	4.21531730715494
280.67	205.67	257	0
273.33	143	257	3.79853919290033
271	146	257	0
206.33	177.33	263	4.07813682948472
209.67	179.67	263	0
258	179	273	4.47213595499958
260	183	273	0
216.67	178.67	277	3.14078015785889
215	181.33	277	0
240.67	253.33	277	3.30925973595301
238.33	255.67	277	0
113.33	192	61	3.30219623886892
115.67	189.67	61	0
118.67	221	61	2.85112258592996
117.67	223.67	61	0
80.33	281	66	4.68164501003655
80	285.67	66	0
87	286	66	3.77595021153618
84.33	288.67	66	0
233	228	68	4.80925150101343
235.67	232	68	0
215	220.33	74	4.53921799432455
216.33	224.67	74	0
149.67	211.33	76	3.48648820448311
148.67	214.67	76	0
262	285	77	3.79853919290033
265	287.33	77	0
112.67	224	84	4.06995085965422
110.33	227.33	84	0
102.67	210.33	84	4.01608017848249
99.67	213	84	0
223.33	226.33	84	2.60555176498184
225	228.33	84	0
134	372	84	4.01358941597169
134.33	376	84	0
134.33	372.67	85	3.32999999999998
134.33	376	85	0
160.33	331	89	2.98291803440857
163	332.33	89	0
299.67	319.67	90	3.79853919290033
302.67	322	90	0
46.33	201.33	90	4.01608017848249
49.33	204	90	0
17.67	259	90	3.79415339700439
21.33	258	90	0
218	232.33	90	4.52965782372136
219.33	228	90	0
194.33	376.33	90	4.06995085965418
196.67	373	90	0
202.67	209.33	93	4.73239896881066
206.33	212.33	93	0
76.67	412.33	93	3.71903213215478
77.33	408.67	93	0
258.33	248.33	93	3.80380073084802
259.33	252	93	0
128	407.67	96	3.60555127546399
131	409.67	96	0
16.67	247.33	96	2.54472002389259
15.67	249.67	96	0
262	309.67	96	6.56725970249389
268	307	96	0
251.67	408.33	96	3.07174217668085
252.33	411.33	96	0
237.33	269	96	3.47690954728476
236.33	272.33	96	0
153.67	384.33	96	2.10924156985396
153	386.33	96	0
148.67	366	96	3.16227766016838
147.67	369	96	0
266.33	349	96	4.80925150101345
269	345	96	0
44.67	227.67	96	5.20469979921994
40.67	231	96	0
165	294	96	4.34715999245486
162.67	297.67	96	0
82.33	252	98	5.08024605703308
80.33	256.67	98	0
178.67	385	102	5.34083326832057
178.33	390.33	102	0
107.33	298.67	104	5.09901951359278
106.33	303.67	104	0
272	367	104	6.32999999999998
272	373.33	104	0
265	251	104	5.82389903758643
266.33	256.67	104	0
136.33	182.67	104	3.88444333206189
134.33	186	104	0
96.67	384.33	107	5.27151780799421
101.67	386	107	0
101.67	401.33	111	5.3851648071345
99.67	406.33	111	0
143	395.33	113	7.48791693329995
149.33	391.33	113	0
213	245.33	115	6.00740376535489
216.33	240.33	115	0
195	361	115	6.84170300436959
199.67	356	115	0
118.67	210	119	2.35325306756414
119	212.33	119	0
167.33	192.67	119	3.13547444575781
165.67	195.33	119	0
149.33	244	122	4.76958069435879
151.33	248.33	122	0
115	403.33	122	4.0160801784825
112.33	406.33	122	0
270.33	290	130	5.21898457556641
268	294.67	130	0
97	397	130	3.90356247548315
95.67	400.67	130	0
157.67	238	143	6.36535937712869
157	244.33	143	0
87	406.33	143	4.33461647669087
85.33	410.33	143	0
166	199.33	145	2.23606797749979
165	201.33	145	0
261.67	336.33	145	3.59877757023136
260.33	339.67	145	0
193.33	234.33	149	4.80370690196645
190.67	238.33	149	0
87	412.67	151	6.25815468009537
89.67	418.33	151	0
117.67	212.67	151	3.32800240384531
115.67	215.33	151	0
137.67	326.33	156	5
137.67	331.33	156	0
246	297.33	156	3.67000000000002
246	301	156	0
226	290.33	157	6.00740376535489
222.67	295.33	157	0
305	338.67	159	4.01358941597169
305.33	342.67	159	0
126	423.33	159	3.34631140212621
126.33	420	159	0
161.33	251	159	3.54369863278468
159	253.67	159	0
89.67	436	163	3.07174217668085
90.33	439	163	0
173.67	332.67	163	3.71903213215479
174.33	336.33	163	0
175.33	329.33	166	3.14925387988965
178	331	166	0
210.67	252.67	166	3.42864404685002
213.67	254.33	166	0
104	409.33	168	5.17386702573617
105.33	414.33	168	0
195	268.67	180	4.84608089078172
193.67	273.33	180	0
97.33	433	180	5
94.33	437	180	0
204.67	246.33	180	5.55057654663008
201.67	251	180	0
316.67	314.67	181	5.0433718879337
317.33	319.67	181	0
210.67	319.33	181	3.59877757023133
209.33	322.67	181	0
114.67	416	184	2.23606797749979
113.67	418	184	0
144.33	308	184	3.54369863278466
147	305.67	184	0
278.33	342.33	184	5.01154666744709
278.67	347.33	184	0
163.67	392.67	184	4.01608017848249
161	395.67	184	0
127.67	428	184	3.16227766016837
130.67	427	184	0
124.67	240.67	184	3.07065139669094
127	242.67	184	0
155.67	409.67	187	6.75459103129127
158	403.33	187	0
271.33	280.67	187	3.32999999999998
271.33	284	187	0
300.33	360.67	187	4.33872100969856
298	364.33	187	0
165.67	238.33	187	4
165.67	242.33	187	0
169.67	241.33	187	3.60555127546399
166.67	243.33	187	0
278.67	397.33	187	2.10608641798003
279.33	399.33	187	0
177.33	290.33	190	3.60555127546399
179.33	287.33	190	0
298	333.33	190	4.74013712881812
301.67	330.33	190	0
187.33	403.67	191	3.33600059952034
189.33	401	191	0
299.33	318	191	7.09397631797573
304.67	313.33	191	0
222	243.33	191	4.48206425656751
225.33	246.33	191	0
225	248.67	191	2.75278041260103
225.67	246	191	0
232.67	262	191	3.07174217668085
233.33	265	191	0
220	337	196	3.29511760032931
217.67	339.33	196	0
256.67	411	200	2.53552755851715
259	412	200	0
305	371.67	203	4.80925150101345
309	369	203	0
132.67	302.33	123	5.66353246657951
135.33	297.33	123	0
138.33	291.33	123	3.60555127546399
140.33	288.33	123	0
180	265.33	130	3.79853919290033
183	263	130	0
124.67	290	130	5
127.67	294	130	0
135.33	337	141	3.79853919290035
133	340	141	0
204.33	272.33	143	3.89301939373539
207.67	274.33	143	0
207.67	333	152	4.33872100969861
211.33	330.67	152	0
229.67	287.33	157	2.59915370842128
231.33	289.33	157	0
134.33	327	157	3.07065139669095
132	329	157	0
217.67	306.67	164	4.2682314838818
215	310	164	0
212.67	299.33	164	6.75409505411347
209	305	164	0
208.67	316.67	164	3.47690954728476
207.67	320	164	0
201	334	169	6.13007340902213
198.67	339.67	169	0
220.67	342.33	169	6.01239552923792
218.67	348	169	0
216.33	224	169	3.33600059952032
219	226	169	0
77.33	277	169	3.80380073084804
76.33	280.67	169	0
155	364.67	175	3.43349675986449
156.67	361.67	175	0
219.33	337.33	179	2.60555176498184
221	335.33	179	0
164.67	277	179	5.21003838757453
169.33	279.33	179	0
235.33	270.33	181	6.01239552923792
237.33	276	181	0
248	301.33	181	3.33600059952034
246	304	181	0
221	351	181	2.98291803440857
218.33	352.33	181	0
163.67	361	181	2.53552755851715
164.67	363.33	181	0
188	211	184	2.86667054263304
185.67	212.67	184	0
160.67	299.33	194	3.28160021940517
162	302.33	194	0
169.67	356.33	194	4.80925150101345
173.67	359	194	0
71.33	258.67	203	4.01885555848923
69.67	262.33	203	0
128.33	372	206	3.07390630956768
131.33	372.67	206	0
146.67	355.33	206	5.51623966121851
149	360.33	206	0
108	226.33	211	4.77586641354214
107	231	211	0
93.33	339.67	211	4.009438863482
96.33	342.33	211	0
208.67	240.67	212	5.37194564380543
208	246	212	0
114.67	240.67	212	5.70828345476991
115.33	235	212	0
232	313.67	212	4.48206425656751
235.33	310.67	212	0
172.33	226.67	212	4.7234732983261
175.67	223.33	212	0
107.33	226.67	212	4
107.33	230.67	212	0
160.67	270.67	216	4.34409944637547
158.33	274.33	216	0
190.33	218.33	216	4.71640753116182
189.67	223	216	0
126.33	312.67	216	3.6748469355879
126	316.33	216	0
175.33	350.33	216	2.85112258592996
178	351.33	216	0
234.33	305.33	220	4.77586641354217
233.33	310	220	0
232.67	304	220	2.54472002389259
230.33	305	220	0
162.33	272.67	220	4.7093311627024
159	276	220	0
189.67	226.33	225	3.54276727996633
192.33	228.67	225	0
144.67	290.33	225	5.42852650357352
148.67	294	225	0
86.67	318.33	228	7.02820033863577
90.33	324.33	228	0
176	356.33	231	3.33600059952032
178.67	354.33	231	0
88.33	318.67	231	3.67575842514164
88.67	322.33	231	0
212.33	240.33	231	3.60555127546399
210.33	243.33	231	0
174	348.67	233	4.33461647669087
172.33	352.67	233	0
201.33	275	233	7.12710319835485
202.67	282	233	0
177.67	257	233	4.03209622901042
176	260.67	233	0
177	269.33	233	5.75750814154875
176	275	233	0
124.67	325	242	4.34715999245484
121	327.33	242	0
180.67	341.33	242	3.60555127546399
178.67	344.33	242	0
251.33	279.33	242	4.01442399355125
251.67	283.33	242	0
215	322.33	242	3.60555127546399
217	325.33	242	0
173	236.67	242	3.60555127546399
175	239.67	242	0
184.33	224.33	245	3.16227766016838
187.33	225.33	245	0
132.33	260.67	245	4.34409944637547
134.67	264.33	245	0
151.67	327.67	247	4.80370690196645
154.33	331.67	247	0
106.67	304.33	251	5.37938658212999
104	309	251	0
184	265	278	5.42299732620253
185	270.33	278	0
181.67	250.67	278	3.07824625395693
179.33	252.67	278	0
188	306.67	278	4.02299639572294
186.33	310.33	278	0
155.67	287.33	281	4.01608017848251
152.67	290	281	0
210	208	147	3.33600059952032
212.67	206	147	0
218	215.33	147	2.75036361232474
220.67	214.67	147	0
224.33	223	147	3.3967337252131
225	219.67	147	0
219	231	147	3
219	234	147	0
225.33	230.33	147	2.40740524216425
227.33	231.67	147	0
201.67	230.67	147	3.47690954728478
202.67	234	147	0
210	243	147	4.76958069435879
212	247.33	147	0
220.33	209	147	3.28566583815213
221.67	212	147	0
223	206.67	147	3.54369863278468
225.67	209	147	0
205	277.67	147	4.17958131874473
208.67	275.67	147	0
247.67	274.33	147	2.54472002389264
246.67	276.67	147	0
230.67	259.33	150	2.02704218012354
232.67	259	150	0
237	238.33	150	2.69031596657343
237.33	241	150	0
199.67	222.67	150	4.33461647669087
198	226.67	150	0
217.67	217.67	154	5.66823605718745
215	222.67	154	0
283.67	253	157	7.69444604893685
281.33	260.33	157	0
221.33	182.67	157	3.47690954728478
220.33	186	157	0
251.33	230.67	157	5.21451819442603
253.67	235.33	157	0
201	247.67	157	3.79853919290035
198.67	250.67	157	0
247.33	270.67	157	5.07105511703429
249.33	275.33	157	0
211.67	190.67	162	3.58949857222426
210.33	194	162	0
197.67	236.33	162	5.83019725223766
195.33	241.67	162	0
232.67	222	162	4.52965782372136
234	226.33	162	0
203	232	162	4
203	236	162	0
186.67	258	162	3.6848066435025
187	261.67	162	0
205.33	219.33	163	2.33999999999997
205.33	221.67	163	0
247.33	280	164	3.67000000000002
247.33	283.67	164	0
238	265.33	164	4.12310562561766
237	269.33	164	0
230	229.33	167	3.54369863278468
232.33	232	167	0
202	192.67	167	5
199	196.67	167	0
212.33	245	167	4.06420964026219
210	248.33	167	0
253	227.67	167	3.76888577699034
250.33	230.33	167	0
272.33	266	167	4.009438863482
269.67	269	167	0
236.33	187.33	167	4.02796474661832
234.67	191	167	0
253.67	188	167	3.79853919290035
256	191	167	0
282.33	212.33	167	2.69651627104308
284.67	213.67	167	0
272.33	211	173	5.82619086539395
273.67	216.67	173	0
177.33	261	173	4.17958131874475
179.33	264.67	173	0
182.33	265.67	175	2.69651627104308
183.67	263.33	175	0
172.33	261.33	184	3.01920519342425
172.67	264.33	184	0
177.67	273.33	184	3.14396246796939
179.33	276	184	0
271	252.33	184	4.47213595499958
273	248.33	184	0
199	246.67	184	4.24264068711928
202	243.67	184	0
175	215.33	184	6.14889420953068
171	220	184	0
190.67	206.33	200	6.20233020726887
195.67	210	200	0
212	268	209	4.7093311627024
215.33	264.67	209	0
236.33	296.67	209	4.53260410801558
240	299.33	209	0
196.67	181	213	4.76958069435879
198.67	176.67	213	0
168	191.33	213	2.6828715958838
169.33	189	213	0
163	199.67	213	2.23606797749979
162	201.67	213	0
183.67	231	229	3.77595021153615
181	233.67	229	0
220.67	298.33	230	4.53921799432461
222	302.67	230	0
196.67	179.67	230	4.92183908717057
194.33	184	230	0
236	249	230	3.3967337252131
235.33	252.33	230	0
207	226.67	241	4.2619831064893
203.67	229.33	241	0
200	196	241	3.33600059952032
202.67	198	241	0
195	213.33	244	4.92590093282435
192.67	217.67	244	0
163	236.33	246	3.28566583815213
166	237.67	246	0
192.67	204	250	6.00906814739191
193	210	250	0
291.67	266	250	3.88444333206187
295	264	250	0
187.33	210.33	251	4.33077360294903
185.67	214.33	251	0
299.33	235.67	251	4.6291359884972
297	239.67	251	0
286	249	251	3.33600059952032
288	251.67	251	0
197.67	178.33	251	3.35626280258263
198	181.67	251	0
206	246.67	259	4.53260410801562
209.67	249.33	259	0
263.67	274.33	259	3.90698093161461
262.33	278	259	0
213	222	265	4.34715999245484
209.33	224.33	265	0
197	239.67	275	3.60555127546399
200	237.67	275	0
224.33	199	275	4.53039733356801
220.67	201.67	275	0
187.33	184.33	275	4.80925150101343
183.33	187	275	0
183.67	236.67	275	5.33000000000001
183.67	242	275	0
201.33	276	279	6.74454594468747
200.33	282.67	279	0
241.67	196.67	279	3.54369863278468
244	194	279	0
209.33	205	288	5.67959505598769
209	210.67	288	0
225	276.67	288	5.08702270488346
